username,hierarchy_name,scientific_name,name_rank,parent_name,noclass_term_type_1,noclass_term_1,noclass_term_type_2,noclass_term_2,noclass_term_type_3,noclass_term_3,noclass_term_type_4,noclass_term_4,noclass_term_type_5,noclass_term_5,noclass_term_type_6,noclass_term_6,noclass_term_type_7,noclass_term_7,noclass_term_type_8,noclass_term_8,noclass_term_type_9,noclass_term_9,noclass_term_type_10,noclass_term_10
jegelewicz,Siphonaptera,Pulex vulgaris,species,Pulex,author_text,1778,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Pulex irritans,,,,,,,,
jegelewicz,Siphonaptera,Chiastopsylla caffrarica,species,Chiastopsylla,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Chiastopsylla rossi,,,,,,,,
jegelewicz,Siphonaptera,Chiastopsylla couchae,species,Chiastopsylla,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Chiastopsylla godfreyi,,,,,,,,
jegelewicz,Siphonaptera,Chiastopsylla crassus,species,Chiastopsylla,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Chiastopsylla rossi,,,,,,,,
jegelewicz,Siphonaptera,Chiastopsylla numae klaveriana,subspecies,Chiastopsylla numae,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Chiastopsylla numae,,,,,,,,
jegelewicz,Siphonaptera,Chiastopsylla octavii caledonia,subspecies,Chiastopsylla octavii,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Chiastopsylla octavii,,,,,,,,
jegelewicz,Siphonaptera,Ctenophthalmus calceatus septentrionalis,subspecies,Ctenophthalmus calceatus,author_text,1940,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Ctenophthalmus calceatus calceatus,,,,,,,,
jegelewicz,Siphonaptera,Xenopsylla achilla,species,Xenopsylla,author_text,1947,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Xenopsylla torta,,,,,,,,
jegelewicz,Siphonaptera,Xenopsylla pasiphae,species,Xenopsylla,author_text,1947,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Xenopsylla eridos,,,,,,,,
jegelewicz,Siphonaptera,Parapsyllus magellanicus heardi,subspecies,Parapsyllus magellanicus,author_text,1952,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Parapsyllus magellanicus magellanicus,,,,,,,,
jegelewicz,Siphonaptera,Hystrichopsylla narbeli,species,Hystrichopsylla,author_text,19008,nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Hystrichopsylla talpae talpae,,,,,,,,
jegelewicz,Siphonaptera,Nosopsyllus aralis aralis,subspecies,Nosopsyllus aralis,author_text,"(Argyropulo, 1946)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Paramonopsyllus desertus,species,Paramonopsyllus,author_text,"(Argyropulo, 1946)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rhadinopsylla caucasica integella,subspecies,Rhadinopsylla caucasica,author_text,"(Argyroulo, 1948)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,synonym,preferred_name,Rhadinopsylla caucasica,,,,,,,,
jegelewicz,Siphonaptera,Eumolpianus eutamiadis,species,Eumolpianus,author_text,"(Augustson, 1942)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Orchopeas neotomae,species,Orchopeas,author_text,"(Augustson, 1943)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Jellisonia bullisi,species,Jellisonia,author_text,"(Augustson, 1944)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Foxella ignota,species,Foxella,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Orchopeas howardi,species,Orchopeas,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla bruneri,species,Oropsylla,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla hirsuta,species,Oropsylla,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla montana,species,Oropsylla,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rhadinopsylla fraterna,species,Rhadinopsylla,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Spilopsyllus inaequalis inaequalis,subspecies,Spilopsyllus inaequalis,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Spilopsyllus simplex,species,Spilopsyllus,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Stenistomera alpina,species,Stenistomera,author_text,"(Baker, 1895)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Opisodasys keeni,species,Opisodasys,author_text,"(Baker, 1896)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Anomiopsyllus nudatus nudatus,subspecies,Anomiopsyllus nudatus,author_text,"(Baker, 1898)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Catallagia charlottensis,species,Catallagia,author_text,"(Baker, 1898)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Megarthroglossus divisus,species,Megarthroglossus,author_text,"(Baker, 1898)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Odontopsyllus multispinosus,species,Odontopsyllus,author_text,"(Baker, 1898)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Thrassis arizonensis,species,Thrassis,author_text,"(Baker, 1898)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Stenoponia americana,species,Stenoponia,author_text,"(Baker, 1899)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Aetheca wagneri,species,Aetheca,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Dasypsyllus gallinulae perpinnatus,subspecies,Dasypsyllus gallinulae,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Dolichopsyllus stylosus,species,Dolichopsyllus,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Euhoplopsyllus glacialis affinis,subspecies,Euhoplopsyllus glacialis,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Euhoplopsyllus glacialis lynx,subspecies,Euhoplopsyllus glacialis,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Hoplopsyllus anomalus,species,Hoplopsyllus,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Malaraeus eremicus,species,Malaraeus,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Megabothris asio asio,subspecies,Megabothris asio,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Nearctopsylla genalis genalis,subspecies,Nearctopsylla genalis,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Odontopsyllus dentatus,species,Odontopsyllus,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Opisodasys pseudarctomys,species,Opisodasys,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Orchopeas leucopus,species,Orchopeas,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Orchopeas sexdentatus,species,Orchopeas,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla arctomys,species,Oropsylla,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla idahoensis,species,Oropsylla,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla tuberculata,species,Oropsylla,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Peromyscopsylla hesperomys hesperomys,subspecies,Peromyscopsylla hesperomys,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rhopalopsyllus lutzi lutzi,subspecies,Rhopalopsyllus lutzi,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Thrassis petiolatus,species,Thrassis,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Xenopsylla brasiliensis,species,Xenopsylla,author_text,"(Baker, 1904)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rhadinopsylla mexicana,species,Rhadinopsylla,author_text,"(Barrera, 1952)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Plusaetis aztecus,species,Plusaetis,author_text,"(Barrera, 1954)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Plusaetis ponsi,species,Plusaetis,author_text,"(Barrera, 1955)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Plusaetis sibynus jordani,subspecies,Plusaetis sibynus,author_text,"(Barrera, 1955)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Plusaetis soberoni,species,Plusaetis,author_text,"(Barrera, 1958)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Afristivalius smitianus,species,Afristivalius,author_text,"(Beaucournu, 1967)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Afristivalius rahmi,species,Afristivalius,author_text,"(Beaucournu, 1970)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Afristivalius vancanneyti,species,Afristivalius,author_text,"(Berteaux, 1947)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Chaetopsylla tuberculaticeps,species,Chaetopsylla,author_text,"(Bezzi, 1890)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ceratophyllus vagabundus vagabundus,subspecies,Ceratophyllus vagabundus,author_text,"(Boheman, 1866)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Nosopsyllus fasciatus,species,Nosopsyllus,author_text,"(Bosc, 1800)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Archaeopsylla erinacei erinacei,subspecies,Archaeopsylla erinacei,author_text,"(Bouché), 1835",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ctenocephalides felis felis,subspecies,Ctenocephalides felis,author_text,"(Bouché), 1835",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Atyphloceras multidentatus multidentatus,subspecies,Atyphloceras multidentatus,author_text,"(C. Fox, 1909)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Dactylopsylla stimsoni,species,Dactylopsylla,author_text,"(C. Fox, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Polygenis gwyni,species,Polygenis,author_text,"(C. Fox, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Procaviopsylla procaviae,species,Procaviopsylla,author_text,"(C. Fox, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Sternopsylla distincta texana,subspecies,Sternopsylla distincta,author_text,"(C. Fox, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Xenopsylla georychi,species,Xenopsylla,author_text,"(C. Fox, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Meringis cummingi,species,Meringis,author_text,"(C. Fox, 1926)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Peromyscopsylla ebrighti,species,Peromyscopsylla,author_text,"(C. Fox, 1926)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Thrassis francisi,species,Thrassis,author_text,"(C. Fox, 1927)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Orchopeas dieteri,species,Orchopeas,author_text,"(C. Fox, 1929)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amalaraeus penicilliger mengdaensis,subspecies,Amalaraeus penicilliger,author_text,"(Cai, Wu & Li, 1997)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Polygenis bohlsi jordani,subspecies,Polygenis bohlsi,author_text,"(Costa Lima & Hathaway, 1937)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rothschildopsylla noctilionis,species,Rothschildopsylla,author_text,"(Costa Lima, 1920)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Polygenis occidentalis occidentalis,subspecies,Polygenis occidentalis,author_text,"(Cunha, 1914)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ceratophyllus hirundinis,species,Ceratophyllus,author_text,"(Curtis, 1826)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,author_text,"Chao, 1947",taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Hystrichopsylla talpae talpae,subspecies,Hystrichopsylla talpae,author_text,"(Curtis, 1826)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ischnopsyllus elongatus,species,Ischnopsyllus,author_text,"(Curtis, 1832)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ctenocephalides canis,species,Ctenocephalides,author_text,"(Curtis, 1926)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amalaraeus penicilliger mustelae,subspecies,Amalaraeus penicilliger,author_text,"(Dale, 1878)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Dasypsyllus gallinulae gallinulae,subspecies,Dasypsyllus gallinulae,author_text,"(Dale, 1878)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Palaeopsylla minor,species,Palaeopsylla,author_text,"(Dale, 1878)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Palaeopsylla soricis soricis,subspecies,Palaeopsylla soricis,author_text,"(Dale, 1878)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Spilopsyllus cuniculi,species,Spilopsyllus,author_text,"(Dale, 1878)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amphipsylla daea,species,Amphipsylla,author_text,"(Dampf, 1910)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amalaraeus andersoni ioffi,subspecies,Amalaraeus andersoni,author_text,"(Darskaya, 1949)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Bradiopsylla echidnae,species,Bradiopsylla,author_text,"(Denny, 1843)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amaradix bitterrootensis,species,Amaradix,author_text,"(Dunn, 1923)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Peromyscopsylla hesperomys ravalliensis,subspecies,Peromyscopsylla hesperomys,author_text,"(Dunn, 1923)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Jellisonia ironsi,species,Jellisonia,author_text,"(Eads, 1947)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Malaraeus grundmanni,species,Malaraeus,author_text,"(Egoscue, 1988)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Megabothris beljaevi,species,Megabothris,author_text,"(Emelyanova, 1966)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Tunga caecata,species,Tunga,author_text,"(Enderlein, 1901)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Xenopsylla aequisetosa,species,Xenopsylla,author_text,"(Enderlein, 1901)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Rhopalopsyllus lugubris cryptoctenes,subspecies,Rhopalopsyllus lugubris,author_text,"(Enderlein, 1912)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Euhoplopsyllus glacialis foxi,subspecies,Euhoplopsyllus glacialis,author_text,"(Ewing, 1924)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Farhangia celebensis,species,Farhangia,author_text,"(Ewing, 1924)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Farhangia sciuri,species,Farhangia,author_text,"(Ewing, 1924)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Paraceras javanicum,species,Paraceras,author_text,"(Ewing, 1924)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Citellophilus relicticola,species,Citellophilus,author_text,"(Fedina, 1946)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Megabothris sokolovi,species,Megabothris,author_text,"(Gershkovich, 1953)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Ceratophyllus columbae,species,Ceratophyllus,author_text,"(Gervais, 1844)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Odontopsyllus quirosi quirosi,subspecies,Odontopsyllus quirosi,author_text,"(Gil Collado, 1934)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla oregonensis,species,Oropsylla,author_text,"(Good & Prince, 1939)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Oropsylla washingtonensis,species,Oropsylla,author_text,"(Good & Prince, 1939)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Amalaraeus penicilliger penicilliger,subspecies,Amalaraeus penicilliger,author_text,"(Grube, 1851)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Hectiella lakoi,species,Hectiella,author_text,"(Guimarães, 1948)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
jegelewicz,Siphonaptera,Hectopsylla pulex,species,Hectopsylla,author_text,"(Haller, 1880)",nomenclatural_code,ICZN,source_authority,Terrestrial Parasite Tracker Thematic Collection Network,,,taxon_status,valid,,,,,,,,,,
